Iteration,Layer,Index,Bit
220,classifier[3],9560986,3
221,classifier[0],362040,2
222,classifier[0],1611158,4
223,features[11],153557,1
224,features[15],45771,0
225,classifier[3],741153,1
226,features[22],1775977,2
227,features[8],196971,4
228,features[8],151714,2
229,features[11],92145,2
230,features[18],1629875,0
231,classifier[3],7962762,3
232,features[15],410839,4
233,features[8],120049,4
234,features[11],358930,3
235,features[11],191188,2
236,features[4],64478,4
237,classifier[6],20900,3
238,classifier[3],4036437,2
239,features[8],220653,2
240,classifier[3],11331380,3
241,features[8],45760,4
242,classifier[6],20852,2
243,features[4],31204,0
244,classifier[0],97298,2
245,features[22],241084,4
246,features[11],91328,1
247,features[8],219131,1
248,features[18],960487,2
249,classifier[6],38180,0
250,features[15],1014901,4
251,features[15],856578,2
252,features[18],2157748,1
253,classifier[0],833529,2
254,features[8],73083,3
255,features[15],797986,0
256,features[22],1907343,1
257,features[0],1476,3
258,classifier[3],10723887,2
259,classifier[3],990727,4
260,classifier[3],12409816,4
261,features[18],281137,4
262,features[4],2253,1
263,classifier[0],1375634,0
264,features[11],309187,1
265,features[0],1103,0
266,features[4],49856,1
267,features[11],447796,3
268,features[4],19449,0
269,classifier[6],8582,3
270,features[0],1635,4
271,features[0],1240,2
272,features[4],49732,2
273,features[18],696825,0
274,features[15],435284,3
275,classifier[3],2230212,0
276,classifier[6],27300,3
277,features[22],933074,3
278,features[15],246662,4
279,features[4],58726,4
280,features[15],493816,2
281,classifier[0],615269,3
282,features[22],239530,1
283,features[11],256986,0
284,classifier[0],1811675,4
285,features[0],195,1
286,classifier[3],16007950,1
287,classifier[6],13105,2
288,features[15],432564,2
289,features[18],2186415,4
290,features[0],1165,3
291,features[4],23381,1
292,features[18],524224,1
293,features[18],388158,4
294,classifier[3],4837602,2
295,features[22],982249,2
296,features[4],36280,2
297,features[18],375274,1
298,features[25],2135911,3
299,features[8],216680,1
300,features[15],823007,2
301,features[11],123821,2
302,classifier[3],12335626,4
303,features[4],17616,2
304,features[8],29784,0
305,features[25],761236,2
306,features[11],413221,0
307,features[25],134843,0
308,features[4],70608,2
309,features[22],1952317,2
310,features[11],434506,0
311,features[0],1142,1
312,features[4],20225,3
313,classifier[3],14120030,1
314,classifier[3],1275184,1
315,classifier[3],8643013,0
316,classifier[6],33846,4
317,features[8],171034,2
318,features[22],275395,1
319,features[22],1210969,4
320,features[25],1385075,4
321,features[18],21240,3
322,features[4],24029,3
323,features[4],32559,2
324,features[22],1485341,4
325,classifier[6],27206,0
326,features[0],1576,3
327,classifier[6],24122,2
328,features[11],266237,1
329,features[15],184236,0
330,features[8],60749,3
331,features[8],113401,0
332,classifier[6],112,0
333,features[18],539735,0
334,features[4],20649,3
335,features[25],2278883,0
336,features[18],929215,1
337,classifier[3],582319,3
338,features[25],65653,4
339,features[25],1468317,1
340,classifier[6],3713,2
341,features[22],1226548,4
342,classifier[3],9711189,0
343,features[8],243561,4
344,features[25],2173857,0
345,features[22],1095153,4
346,features[25],1341838,3
347,classifier[0],104963,1
348,features[25],2099000,0
349,features[25],2316013,1
350,features[25],1441611,0
351,features[11],533693,1
352,features[11],259796,2
353,features[8],5071,0
354,features[15],20268,4
355,classifier[3],12295618,2
356,features[0],39,0
357,features[0],632,4
358,classifier[6],9111,2
359,features[8],211306,1
360,features[8],254752,2
361,features[15],707612,0
362,features[4],72644,2
363,features[18],1768734,0
364,features[4],32373,1
365,features[0],631,2
366,classifier[6],31879,2
367,classifier[3],15863774,4
368,features[8],34911,4
369,classifier[0],786512,1
370,features[11],489329,2
371,features[4],14383,4
372,features[22],1067504,3
373,features[15],712031,0
374,features[4],33330,1
375,classifier[0],534706,1
376,features[25],1153995,3
377,features[18],1566832,0
378,features[8],140460,0
379,features[8],139627,3
380,features[4],13318,4
381,classifier[6],32644,1
382,features[18],372686,1
383,features[0],521,1
384,classifier[0],389126,0
385,classifier[0],470711,4
386,features[15],540044,0
387,features[11],584222,4
388,features[22],1113906,0
389,features[22],985974,0
390,features[22],1273545,2
391,features[22],446394,1
392,features[4],49523,3
393,features[25],846144,3
394,classifier[3],11700939,1
395,features[11],162621,4
396,classifier[0],860155,0
397,features[15],1012205,4
398,classifier[6],2220,4
399,features[15],1075891,0
400,classifier[3],2152417,2
401,classifier[3],5250001,2
402,features[11],233201,3
403,features[0],1135,4
404,features[18],915606,3
405,features[22],1132887,1
406,classifier[3],407920,2
407,features[18],1566584,0
408,features[11],374911,4
409,features[0],140,4
410,features[4],40159,1
411,features[25],1273692,3
412,classifier[6],13378,0
413,features[4],26500,0
414,features[4],51054,3
415,features[4],22023,3
416,classifier[6],16318,1
417,features[25],153222,0
418,features[18],2058640,2
419,features[15],800474,3
420,features[0],22,3
421,features[0],1135,4
422,classifier[6],31264,2
423,classifier[6],22899,0
424,features[4],33251,4
425,features[25],994451,4
426,classifier[3],11641130,1
427,features[8],235867,2
428,classifier[0],1539599,0
429,features[25],1462625,4
430,features[11],197335,2
431,features[8],23142,4
432,features[4],40612,3
433,features[15],566536,1
434,classifier[0],1266667,0
435,classifier[3],9439482,1
436,features[22],64724,4
437,features[22],318995,4
438,features[11],578012,3
439,features[15],599802,3
440,classifier[6],33796,2
441,features[25],184065,4
442,features[0],928,3
443,features[4],8932,0
444,features[8],51718,0
445,features[0],1353,2
446,features[22],551627,0
447,classifier[3],3253014,0
448,features[4],73643,4
449,features[0],685,4
450,features[18],652169,3
451,classifier[6],1364,0
452,features[4],57452,1
453,features[0],785,3
454,features[11],77825,3
455,features[22],1734545,2
456,features[18],1619229,0
457,classifier[6],22458,1
458,classifier[6],17486,0
459,features[8],274372,1
460,features[22],11814,2
461,features[25],14064,3
462,features[0],950,4
463,features[8],264695,1
464,classifier[3],4688004,3
465,classifier[0],1480279,1
466,features[11],174150,4
467,classifier[0],164260,1
468,classifier[0],1364667,3
469,features[18],1265516,3
470,features[18],219011,4
471,features[18],548901,2
472,classifier[6],9783,0
473,features[8],243643,4
474,features[4],30717,1
475,features[25],2224919,0
476,features[22],1332741,2
477,classifier[0],1491785,2
478,features[4],59944,3
479,classifier[6],36151,0
480,features[15],210014,0
481,classifier[0],1838316,0
482,features[15],141127,1
483,features[0],1137,0
484,features[0],53,3
485,features[4],45363,2
486,features[8],170795,3
487,features[25],1345801,0
488,features[18],1356278,3
489,classifier[0],376485,2
490,features[15],990895,4
491,features[4],21183,1
492,classifier[0],1950052,4
493,features[18],756321,1
494,features[0],1467,0
495,features[18],1859389,4
496,features[25],1998442,1
497,classifier[3],406109,2
498,classifier[6],34026,2
499,features[22],2302284,2
500,features[22],1208333,4
501,features[18],809072,2
502,features[15],480217,0
503,features[25],2071288,3
504,features[25],1891410,1
505,features[8],150252,0
506,features[18],382433,0
507,classifier[3],11129149,3
508,features[0],129,0
509,classifier[3],1661343,3
510,features[0],153,1
511,features[15],508864,2
512,features[18],1784923,4
513,classifier[0],1578287,4
514,features[8],205762,3
515,features[8],8221,0
516,classifier[6],8973,3
517,classifier[0],1417421,2
518,classifier[6],35211,0
519,features[0],496,0
520,features[18],2156981,4
521,features[8],24287,3
522,classifier[3],14683723,4
523,features[8],15302,3
524,classifier[3],9724573,3
525,features[22],94240,3
526,features[18],611092,4
527,classifier[0],1958871,2
528,features[8],289875,1
529,features[15],1003339,4
530,features[25],1509578,2
531,classifier[6],36212,0
532,features[4],49222,2
533,features[0],891,0
534,features[11],3108,2
535,features[22],670944,1
536,features[4],43450,2
537,features[18],1037806,2
538,features[18],2117342,2
539,features[4],69441,2
540,classifier[3],14022059,3
541,features[22],1955775,1
542,classifier[0],1995595,3
543,classifier[3],384716,3
544,features[0],1679,2
545,features[4],23952,4
546,features[15],246874,0
547,features[18],1931249,2
548,features[18],2019388,0
549,features[18],2085560,3
550,classifier[6],25447,2
551,features[22],1344344,1
552,classifier[3],14019575,3
553,features[15],763974,4
554,features[18],2029314,0
555,features[18],846424,3
556,classifier[0],1953105,2
557,classifier[6],36858,0
558,classifier[6],29370,4
559,features[8],182581,3
560,features[4],54020,4
561,features[25],890917,4
562,features[22],45687,1
563,features[25],498811,4
564,classifier[0],1495497,4
565,features[11],520821,3
566,features[0],473,4
567,features[8],252524,1
568,classifier[0],1888713,3
569,features[25],1387200,2
570,features[0],645,2
571,classifier[3],10482871,3
572,features[4],37274,1
573,features[8],213792,0
574,features[8],115071,2
575,classifier[0],777772,2
576,features[25],224780,4
577,features[22],644972,2
578,features[0],1030,1
579,features[18],1232968,3
580,features[22],546690,4
581,classifier[6],2904,0
582,classifier[6],13525,3
583,features[8],98184,0
584,features[8],197596,2
585,classifier[0],23972,1
586,classifier[3],16757495,3
587,features[8],58895,3
588,classifier[0],451759,2
589,classifier[3],8408725,4
590,classifier[3],12370269,1
591,classifier[6],37590,1
592,features[0],1387,1
593,features[4],11293,0
594,features[18],1781031,0
595,features[11],198786,1
596,features[15],38128,3
597,features[4],57627,4
598,classifier[6],20868,3
599,classifier[0],1769830,3
600,features[22],2174219,4
601,features[22],2327197,4
602,features[25],1600229,4
603,classifier[3],3570184,1
604,features[18],586108,2
605,classifier[0],434934,4
606,features[15],676516,0
607,classifier[3],7125348,0
608,features[0],507,3
609,features[22],1744459,3
610,features[0],1278,0
611,features[4],60985,2
612,features[4],34988,0
613,classifier[3],4650893,4
614,features[11],381459,3
615,classifier[0],377516,2
616,features[15],1007465,0
617,features[25],1282967,1
618,features[8],225129,1
619,features[15],67095,3
620,features[11],344416,4
621,features[8],109206,3
622,features[18],2095310,4
623,features[8],240252,2
624,features[15],804454,1
625,features[18],1335806,1
626,features[11],108384,4
627,classifier[3],8806176,2
628,features[4],24659,0
629,features[11],569213,4
630,features[8],207190,3
631,features[15],15047,4
632,classifier[3],8382238,1
633,features[15],629733,0
634,features[4],63961,0
635,features[22],469257,1
636,features[18],1830847,3
637,features[8],81998,4
638,classifier[3],7978458,2
639,classifier[0],1381031,1
640,features[11],354571,4
641,features[4],52317,0
642,features[15],73734,4
643,classifier[0],1021111,0
644,features[8],280605,1
645,features[8],183293,4
646,classifier[6],18254,4
647,features[0],680,4
648,features[15],929860,3
649,features[0],422,0
650,classifier[6],5615,1
651,features[4],54544,0
652,classifier[3],900633,1
653,features[4],58411,3
654,features[0],268,2
655,classifier[0],523731,0
656,classifier[3],8945955,0
657,classifier[6],19104,0
658,features[15],788768,4
659,features[11],38461,0
660,features[25],2287740,3
661,features[15],918184,3
662,features[25],779372,4
663,features[4],3981,4
664,features[25],1768394,2
665,features[0],15,4
666,features[15],832916,3
667,features[15],863584,2
668,features[11],317968,1
669,features[18],863656,1
670,features[15],743236,3
671,features[11],116321,3
672,features[0],1051,0
673,features[15],94996,1
674,classifier[3],688614,4
675,features[18],1119693,0
676,features[15],926635,4
677,classifier[6],17180,0
678,features[8],120460,1
679,features[25],958599,0
680,classifier[0],871424,2
681,classifier[6],38213,2
682,classifier[3],5528132,4
683,features[11],435515,4
684,classifier[6],15739,0
685,features[25],1552625,4
686,features[8],53710,2
687,features[25],8304,1
688,classifier[0],310324,4
689,features[11],261893,3
690,classifier[6],28208,1
691,classifier[6],22105,2
692,features[22],89586,4
693,features[22],1270801,0
694,features[18],339459,4
695,classifier[6],15752,2
696,features[4],73064,1
697,classifier[6],26255,4
698,classifier[0],594282,0
699,features[25],1292538,0
700,features[15],86526,0
701,features[4],7383,4
702,classifier[6],19002,1
703,features[18],2271267,3
704,features[4],58069,0
705,features[22],513371,2
706,classifier[0],1684399,3
707,features[15],104309,3
708,classifier[0],1382445,4
709,features[22],477744,1
710,features[18],935123,1
711,features[8],156624,1
712,features[4],60120,0
713,features[4],28420,2
714,features[15],982749,0
715,features[22],463705,0
716,classifier[6],25827,1
717,features[0],317,1
718,features[22],852625,3
719,features[0],167,3
720,features[18],1546538,1
721,features[4],8282,0
722,features[25],457980,3
723,classifier[6],35562,4
724,features[8],154577,2
725,classifier[0],954296,0
726,features[22],1871582,1
727,features[18],1694538,0
728,features[4],35582,3
729,features[0],137,1
730,features[18],638466,2
731,classifier[0],394266,1
732,features[18],1819833,4
733,classifier[6],2242,2
734,classifier[6],13628,3
735,classifier[3],2508441,2
736,features[22],1734547,2
737,classifier[0],592094,0
738,features[4],54307,4
739,classifier[6],35487,2
740,features[0],1340,1
741,features[8],269976,0
742,classifier[6],3924,0
743,features[11],387730,1
744,features[15],221773,4
745,features[0],115,2
746,features[18],857749,2
747,features[11],472634,1
748,features[11],188679,2
749,features[25],1300729,3
750,classifier[3],10374957,4
751,classifier[0],1641342,1
752,features[8],197697,1
753,classifier[3],7159918,1
754,features[18],1065337,2
755,features[4],13215,3
756,features[25],502594,0
757,classifier[6],24407,0
758,classifier[6],9373,3
759,features[11],556227,2
760,classifier[3],12525222,0
761,features[15],1117308,1
762,features[4],65236,1
763,features[11],161239,0
764,features[18],574861,3
765,features[25],812013,3
766,classifier[6],37298,4
767,features[22],719656,3
768,features[15],710755,1
769,classifier[6],38400,4
770,features[4],49429,0
771,features[0],298,1
772,features[11],292953,2
773,features[4],32647,2
774,classifier[0],1764354,3
775,features[25],763564,0
776,features[8],14337,1
777,features[18],1268761,4
778,features[8],203244,3
779,features[15],181427,1
780,features[0],324,1
781,features[11],552096,4
782,classifier[6],12600,2
783,features[18],2270209,3
784,features[15],1062625,0
785,features[0],801,3
786,features[25],2253491,1
787,features[8],255083,2
788,features[0],98,3
789,classifier[3],8969357,0
790,features[8],246409,2
791,classifier[0],7030,4
792,classifier[3],90197,1
793,classifier[3],9650938,3
794,classifier[0],2025650,0
795,features[15],1045866,2
796,features[22],15723,4
797,features[0],182,4
798,features[25],1007973,2
799,classifier[6],39428,0
800,features[25],974769,0
801,features[11],3357,3
802,features[18],468800,1
803,features[8],212850,0
804,features[0],1392,0
805,features[25],293154,2
806,features[25],275350,2
807,features[22],1710953,1
808,features[22],1750566,1
809,features[25],1689773,0
810,features[22],1189396,2
811,features[0],1390,0
812,classifier[0],1786522,1
813,features[18],876047,0
814,features[15],285239,4
815,features[22],170568,2
816,features[0],21,0
817,features[22],1947458,2
818,features[4],70751,3
819,features[0],465,0
820,classifier[3],1343060,1
821,classifier[3],2543171,3
822,features[25],1465170,3
823,classifier[3],8724230,0
824,features[8],193914,1
825,features[0],1423,3
826,features[11],422367,3
827,classifier[6],15624,0
828,features[25],2300125,4
829,features[4],38779,2
830,features[25],1195722,4
831,classifier[3],7579233,4
832,features[8],256254,4
833,features[8],107877,3
834,features[8],83018,1
835,features[18],163496,4
836,features[8],104801,2
837,features[15],819584,1
838,features[18],989978,1
839,features[25],788781,4
840,features[25],846209,0
841,classifier[3],11065000,3
842,classifier[3],10373517,4
843,classifier[6],3157,0
844,features[4],7834,3
845,classifier[3],980945,3
846,features[4],17325,1
847,classifier[3],541559,2
848,features[22],90806,2
849,features[22],958580,3
850,features[22],620078,2
851,classifier[3],2602454,1
852,classifier[0],1595814,3
853,features[0],457,1
854,features[15],396802,2
855,features[0],832,1
856,features[11],94080,3
857,classifier[3],14998120,1
858,features[4],2610,2
859,features[18],569383,0
860,classifier[3],10904770,0
861,features[25],1076236,1
862,classifier[3],1808922,3
863,features[18],1910701,0
864,features[18],820359,2
865,features[22],454886,2
866,classifier[0],849611,0
867,features[22],131065,0
868,features[11],90925,1
869,features[0],541,3
870,features[25],2245394,4
871,features[25],1480482,0
872,features[22],2262622,0
873,features[0],1215,1
874,features[11],344322,1
875,features[8],98665,4
876,features[0],457,2
877,features[18],46046,1
878,features[0],214,1
879,features[0],238,3
880,features[11],327712,3
881,features[25],91448,1
882,features[8],202057,1
883,features[22],1162499,4
884,features[8],268159,1
885,features[25],1935766,2
886,features[18],268256,4
887,classifier[6],14,4
888,features[22],228988,3
889,features[4],57535,0
890,features[18],1735043,3
891,classifier[6],16186,2
892,classifier[0],229753,1
893,features[0],1607,3
894,features[8],123793,1
895,classifier[6],3869,1
896,features[8],116198,3
897,features[4],17413,4
898,features[4],60927,4
899,features[25],2056666,3
900,features[18],2050197,3
901,features[8],258351,0
902,features[15],301858,3
903,features[0],1489,4
904,classifier[3],14007553,2
905,features[0],668,0
906,features[22],1104352,1
907,features[8],216587,0
908,features[22],2356157,0
909,classifier[6],21690,0
910,classifier[0],1230196,3
911,classifier[3],15248664,1
912,classifier[6],20265,0
913,features[18],1751860,3
914,features[4],4778,0
915,features[25],1511549,2
916,features[0],1680,3
917,features[11],389885,1
918,features[8],263382,0
919,features[8],59828,4
920,features[15],422944,3
921,features[4],134,3
922,features[18],2026732,2
923,features[4],71594,4
924,features[25],516205,4
925,features[22],1271172,2
926,classifier[3],10689540,2
927,classifier[0],1081645,0
928,features[11],555930,1
929,features[15],66397,2
930,features[22],1384133,4
931,features[8],161195,1
932,features[4],4475,0
933,features[25],2250112,3
934,classifier[3],4112009,3
935,features[22],1533287,3
936,features[15],536707,2
937,features[15],570688,0
938,classifier[6],38554,3
939,classifier[0],620672,3
940,classifier[6],20440,2
941,features[25],1984773,2
942,features[15],1097904,2
943,features[18],37631,1
944,features[25],852974,1
945,classifier[3],13233060,2
946,classifier[3],13265178,3
947,classifier[6],27693,4
948,classifier[6],2818,1
949,classifier[3],7389259,0
950,features[18],2074030,2
951,classifier[3],12157652,2
952,features[22],743850,0
953,features[25],1892171,0
954,features[15],984713,3
955,features[15],439320,1
956,features[22],1552130,2
957,classifier[6],27663,4
958,features[22],1386017,0
959,classifier[3],9902905,1
960,features[25],1436394,1
961,features[11],318204,3
962,classifier[0],1712728,1
963,features[8],185096,2
964,features[0],537,0
965,classifier[6],4055,1
966,classifier[6],3346,1
967,features[18],1895810,0
968,features[8],32072,3
969,features[22],889893,2
970,features[22],1108129,4
971,classifier[0],369424,2
972,features[25],902260,0
973,features[15],998405,2
974,features[0],281,1
975,features[8],54567,2
976,classifier[0],891813,4
977,features[11],487895,4
978,features[15],562766,0
979,features[11],540688,2
980,features[25],616958,1
981,classifier[3],11506267,0
982,features[4],37799,3
983,features[4],30355,1
984,features[22],959791,4
985,classifier[3],3631407,1
986,features[18],1277110,1
987,classifier[0],812833,2
988,features[4],50082,2
989,features[4],28734,0
990,classifier[0],474533,0
991,classifier[6],29141,1
992,classifier[0],209836,1
993,features[0],462,4
994,features[25],1759961,0
995,classifier[3],6739171,3
996,features[8],262069,0
997,features[22],742504,1
998,features[0],1613,0
999,classifier[3],3136586,2
1000,features[15],798128,0
1001,classifier[0],347913,2
1002,features[11],510872,2
1003,features[15],981393,0
1004,features[4],70405,0
1005,classifier[3],10731853,1
1006,features[8],142730,0
1007,features[4],30177,4
1008,features[11],271906,3
1009,classifier[3],7746425,4
1010,features[22],997895,4
1011,features[15],53557,4
1012,features[18],2112819,3
1013,features[8],19621,2
1014,features[25],2237767,0
1015,classifier[3],8045240,3
1016,features[22],1076289,4
1017,features[15],1153070,1
1018,features[18],909325,3
1019,features[22],1748661,4
1020,features[25],772532,4
1021,features[8],263158,3
1022,features[25],1900277,4
1023,features[4],5570,2
1024,features[22],1908392,4
1025,classifier[6],28411,2
1026,features[11],400130,0
1027,features[25],2172375,2
1028,classifier[0],982606,4
1029,classifier[3],10120023,4
1030,features[25],1704585,3
1031,classifier[6],17346,0
1032,classifier[6],38508,4
1033,features[11],326049,0
1034,features[22],652361,0
1035,features[22],1017141,3
1036,features[25],1062224,1
1037,features[11],290652,2
1038,classifier[3],11394940,2
1039,features[4],66871,2
1040,features[18],1283823,0
1041,features[25],101256,1
1042,features[22],999700,3
1043,classifier[6],36388,4
1044,features[4],9341,0
1045,classifier[0],1872179,1
1046,features[22],1100243,2
1047,classifier[6],14781,1
1048,classifier[6],12292,0
1049,features[22],939033,3
1050,features[22],1255518,4
1051,features[25],288204,3
1052,features[15],892750,1
1053,classifier[3],6594438,4
1054,features[25],2319687,2
1055,classifier[6],25506,1
1056,features[15],997795,3
1057,features[22],1815549,3
1058,classifier[0],81572,2
1059,features[15],787837,2
1060,features[0],1158,2
1061,features[0],493,4
1062,features[11],4627,3
1063,classifier[6],35150,4
1064,features[22],224494,2
1065,features[11],231259,4
1066,classifier[0],68425,1
1067,features[22],1368848,1
1068,features[11],401726,3
1069,features[4],52899,0
1070,classifier[0],1206325,2
1071,features[15],887115,1
1072,features[22],1685817,0
1073,features[8],71792,2
1074,features[18],773657,4
1075,classifier[3],10340197,4
1076,classifier[6],24708,2
1077,classifier[3],2871702,3
1078,features[11],177308,1
1079,features[0],405,3
1080,features[11],137855,4
1081,features[11],285027,4
1082,features[18],488626,2
1083,features[25],1295560,3
1084,features[0],1526,2
1085,features[0],700,1
1086,features[25],177730,0
1087,classifier[6],30791,0
1088,classifier[3],8085832,0
1089,features[11],26969,1
1090,features[18],518405,1
1091,features[22],1069337,1
1092,features[11],32449,4
1093,features[11],56715,3
1094,features[15],121975,1
1095,classifier[6],2956,4
1096,classifier[6],27762,4
1097,features[11],73784,1
1098,classifier[6],3841,3
1099,classifier[3],13700665,0
1100,classifier[3],7482708,0
1101,features[22],1809685,2
1102,features[22],298645,4
1103,features[11],417781,4
1104,features[8],83514,0
1105,classifier[3],4593531,2
1106,features[25],896726,4
1107,features[0],1156,1
1108,features[8],199606,4
1109,features[25],1839058,2
1110,features[4],60010,4
1111,classifier[3],2681181,1
1112,classifier[6],13740,0
1113,features[0],1412,4
1114,features[18],2306976,2
1115,features[11],589538,4
1116,classifier[6],26483,0
1117,features[18],245269,1
1118,features[22],1199066,0
1119,features[18],1509587,2
1120,classifier[3],12422702,4
1121,features[22],1359205,2
1122,features[25],1445247,2
1123,classifier[6],37614,1
1124,classifier[3],12456176,1
1125,features[22],70072,1
1126,features[8],189723,0
1127,features[15],1115833,1
1128,features[22],118926,1
1129,features[25],101922,4
1130,features[0],895,0
1131,classifier[3],9438869,3
1132,classifier[6],36953,0
1133,features[22],1564187,3
1134,classifier[0],2048973,1
1135,classifier[0],272602,3
1136,classifier[3],16354153,2
1137,features[15],25039,0
1138,features[0],210,1
1139,features[15],1152578,3
1140,features[25],112692,3
1141,features[18],753270,2
1142,features[22],559526,4
1143,features[8],175818,3
1144,features[18],2134167,1
1145,features[0],830,0
1146,features[22],1839042,3
1147,classifier[3],11976006,3
1148,features[15],1100481,2
1149,classifier[0],1832004,0
1150,features[22],2284525,4
1151,features[8],52942,0
1152,features[18],1874204,1
1153,features[25],2066102,0
1154,classifier[0],1854721,0
1155,features[25],581734,2
1156,classifier[6],36647,1
1157,classifier[0],606671,4
1158,features[8],102223,2
1159,features[0],820,0
1160,features[18],377172,3
1161,features[4],17020,4
1162,classifier[0],164624,1
1163,classifier[3],3472806,0
1164,features[15],916583,0
1165,features[8],144833,2
1166,features[4],39348,1
1167,classifier[6],1257,4
1168,classifier[0],1343561,4
