Iteration,Layer,Index,Bit
299,layer1[0].conv2,5973,1
300,layer3[1].conv2,215127,3
301,layer2[1].conv1,67644,0
302,fc,1926,2
303,layer4[1].conv1,419234,4
304,layer2[1].conv1,17408,1
305,layer3[0].conv2,86770,2
306,layer1[1].conv2,36231,2
307,layer1[0].conv2,13185,2
308,layer4[0].conv1,924315,2
309,layer2[1].conv2,29240,4
310,layer4[0].conv1,744319,2
311,layer2[1].conv2,96142,1
312,fc,4775,0
313,layer2[0].conv1,24384,3
314,layer2[1].conv1,41598,4
315,layer2[1].conv2,50615,4
316,layer3[0].conv1,152955,1
317,layer2[1].conv1,27211,3
318,layer1[0].conv1,4042,0
319,layer1[1].conv1,35939,3
320,layer2[0].conv1,9236,1
321,fc,1107,0
322,layer4[1].conv2,535649,3
323,layer3[1].conv2,135688,4
324,layer2[0].conv1,17367,4
325,layer3[1].conv2,357309,3
326,layer4[0].conv2,2091677,0
327,layer4[1].conv1,2258359,2
328,layer1[1].conv1,617,0
329,layer1[1].conv1,27009,4
330,layer4[1].conv2,5789,4
331,layer4[0].conv1,1087682,3
332,layer3[0].conv1,220524,2
333,layer1[0].conv2,5514,1
334,layer3[1].conv1,229199,0
335,layer1[0].conv2,35994,0
336,layer1[0].conv2,20153,3
337,layer1[0].conv1,18388,3
338,layer4[1].conv2,1918246,1
339,layer4[1].conv2,748394,0
340,conv1,100,0
341,layer3[1].conv1,407531,4
342,layer3[1].conv1,203517,2
343,layer2[0].conv2,131830,0
344,layer1[1].conv1,1255,1
345,conv1,1580,4
346,layer1[0].conv1,13496,4
347,layer3[0].conv2,281606,0
348,layer2[0].conv2,130884,0
349,layer1[1].conv2,4039,2
350,fc,2561,0
351,layer4[0].conv2,1283385,0
352,layer2[0].conv1,27657,4
353,layer2[1].conv2,59517,1
354,layer2[0].conv2,24568,2
355,layer1[1].conv2,31009,0
356,conv1,658,0
357,fc,1837,2
358,layer3[0].conv2,290495,1
359,layer4[1].conv1,2236069,3
360,layer1[1].conv1,36285,3
361,layer3[0].conv2,429615,1
362,layer3[0].conv2,73562,3
363,layer1[1].conv2,30947,1
364,layer2[0].conv2,16782,2
365,layer1[0].conv2,32913,0
366,conv1,830,0
367,layer1[1].conv1,20886,3
368,layer2[1].conv1,118590,4
369,layer4[1].conv1,1253052,0
370,layer1[0].conv1,34470,3
371,layer4[0].conv2,1835983,0
372,layer2[0].conv2,100200,1
373,layer3[1].conv1,280436,4
374,layer1[1].conv1,27545,1
375,layer3[0].conv2,7833,3
376,layer4[0].conv2,913944,4
377,layer4[1].conv2,1730570,4
378,layer2[0].conv2,81954,3
379,layer2[0].conv1,2639,0
380,conv1,513,3
381,layer4[0].conv2,523379,3
382,layer2[0].conv2,64939,0
383,layer1[1].conv1,18030,2
384,layer2[1].conv2,41392,1
385,layer1[1].conv1,19872,2
386,layer4[0].conv2,769194,1
387,layer4[0].conv1,390295,2
388,layer4[0].conv1,411915,2
389,layer2[1].conv2,137704,4
390,layer1[0].conv2,8933,0
391,layer3[1].conv1,479363,4
392,layer4[0].conv2,1566903,1
393,layer2[0].conv2,11662,3
394,layer2[1].conv2,24351,4
395,layer3[0].conv2,424417,4
396,layer3[1].conv1,127639,1
397,layer4[0].conv2,1005234,2
398,layer1[0].conv1,24328,1
399,layer2[0].conv2,51760,4
400,layer2[0].conv1,29860,3
401,layer3[1].conv2,302505,3
402,layer2[0].conv1,12102,0
403,layer2[1].conv1,95883,1
404,layer1[1].conv2,26103,1
405,layer3[0].conv2,497071,2
406,layer4[1].conv1,202474,1
407,layer1[0].conv1,29617,3
408,layer1[0].conv2,21009,0
409,layer3[0].conv2,321866,1
410,layer2[0].conv1,51335,4
411,layer1[0].conv1,11747,3
412,fc,3453,4
413,layer4[1].conv2,766853,2
414,layer1[1].conv2,14319,3
415,layer2[1].conv1,18814,3
416,layer4[1].conv1,1722515,1
417,layer4[1].conv1,831825,4
418,layer1[1].conv2,32832,4
419,layer2[1].conv1,50991,0
420,layer4[0].conv1,1084289,2
421,layer3[1].conv2,107557,2
422,layer2[0].conv1,61782,0
423,layer3[1].conv1,80741,2
424,layer4[1].conv2,1647321,4
425,layer1[1].conv2,29090,1
426,layer3[1].conv1,572531,4
427,layer4[0].conv1,888948,3
428,layer4[0].conv2,1894332,3
429,layer1[0].conv1,5383,2
430,layer3[1].conv1,57242,3
431,layer3[0].conv2,394554,3
432,fc,662,4
433,layer1[1].conv1,7996,3
434,layer4[1].conv1,860074,3
435,layer3[1].conv1,416531,3
436,layer1[1].conv2,12152,3
437,layer3[1].conv1,384864,1
438,layer3[1].conv1,303861,4
439,layer3[1].conv2,179967,3
440,layer4[0].conv1,522204,1
441,layer2[1].conv1,134250,3
442,layer4[0].conv1,1123809,0
443,layer3[0].conv2,249465,3
444,layer4[1].conv1,1151128,2
445,fc,551,4
446,layer1[1].conv1,19159,0
447,layer3[1].conv2,170434,4
448,layer4[1].conv2,1239707,2
449,layer3[0].conv1,202784,4
450,layer4[0].conv2,557869,3
451,layer4[1].conv2,202671,3
452,layer4[1].conv2,1096897,0
453,conv1,839,3
454,layer1[1].conv1,581,4
455,layer2[1].conv1,118866,0
456,fc,4160,3
457,layer3[1].conv1,344723,1
458,layer2[0].conv1,23568,2
459,layer4[0].conv2,282080,0
460,layer2[1].conv1,6017,0
461,layer1[1].conv2,12650,2
462,layer1[1].conv1,33111,1
463,layer4[0].conv2,1785286,3
464,layer1[1].conv2,30797,4
465,layer3[0].conv1,9473,3
466,layer4[0].conv1,1160543,0
467,layer2[0].conv1,51868,0
468,layer2[0].conv2,127163,2
469,layer2[1].conv2,16440,4
470,layer4[1].conv2,1637934,1
471,layer4[0].conv1,1078159,0
472,layer2[1].conv1,24800,1
473,layer3[1].conv2,164020,0
474,layer4[1].conv2,2357642,1
475,layer3[1].conv1,330593,0
476,layer4[1].conv1,1688809,1
477,layer3[0].conv2,320749,1
478,conv1,1688,4
479,layer1[0].conv2,27017,2
480,layer4[1].conv2,2256581,0
481,layer1[1].conv2,5939,0
482,fc,1589,2
483,layer1[0].conv2,8807,2
484,layer4[0].conv1,271494,0
485,fc,1022,1
486,layer1[0].conv1,11941,2
487,layer4[0].conv2,1239526,1
488,layer3[1].conv2,261111,3
489,layer2[0].conv2,116369,4
490,layer2[0].conv2,18116,4
491,layer1[0].conv2,6753,0
492,layer2[0].conv1,52925,3
493,layer3[1].conv2,499879,3
494,layer3[1].conv1,164252,0
495,layer2[0].conv1,42832,4
496,layer3[0].conv1,285496,0
497,layer4[1].conv1,1178871,0
498,layer4[1].conv1,606855,0
499,layer2[1].conv1,71842,0
500,conv1,219,2
501,fc,17,4
502,layer1[0].conv2,21369,0
503,layer3[0].conv2,435981,4
504,layer4[1].conv2,1226715,0
505,layer1[0].conv1,27833,3
506,fc,1113,4
507,layer2[1].conv1,8580,3
508,layer3[1].conv2,320381,2
509,layer2[0].conv2,61001,1
510,layer2[1].conv1,145467,1
511,layer2[1].conv2,126149,0
512,layer4[1].conv1,2004428,4
513,layer2[0].conv2,106747,1
514,layer3[0].conv2,217085,0
515,fc,4775,0
516,layer3[0].conv2,542633,4
517,layer2[1].conv2,26000,3
518,layer4[0].conv2,155122,0
519,layer4[1].conv1,507114,0
520,layer2[1].conv1,115358,4
521,fc,1766,2
522,layer3[0].conv1,243443,2
523,layer2[0].conv1,64749,3
524,layer3[1].conv2,411618,4
525,layer4[1].conv2,1093080,2
526,layer3[1].conv2,414982,1
527,fc,3812,4
528,layer4[1].conv2,2061457,1
529,layer4[0].conv1,160376,3
530,layer1[0].conv1,2027,4
531,layer1[0].conv2,4610,1
532,layer4[1].conv2,2316575,4
533,layer1[1].conv2,6002,4
534,layer2[0].conv1,55062,3
535,fc,749,2
536,layer1[0].conv2,12543,0
537,fc,507,0
538,layer1[1].conv2,13959,0
539,layer3[1].conv1,65502,3
540,layer4[1].conv2,1577721,2
541,conv1,1592,2
542,layer2[0].conv2,64040,0
543,layer1[0].conv2,25779,4
544,layer2[1].conv1,44387,2
545,layer3[1].conv2,75714,1
546,layer1[1].conv2,14742,3
547,layer3[1].conv2,512279,2
548,layer2[0].conv2,107589,2
